username,country,spotify_id,profile_picture_sm,profile_picture_bg,role
jpatman0,AL,mbernardotte0,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
alys1,HR,phowie1,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
bdellenty2,CN,sdomaschke2,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
rkarpfen3,RU,khelks3,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
mcockroft4,GR,kcabotto4,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
fosullivan5,PL,tcrean5,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
tgrandisson6,EG,srivallant6,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
nkinzett7,RS,bmccoish7,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
dhugo8,RS,sshyram8,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
gcarberry9,CN,dmugleston9,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
fcramonda,TN,clehra,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
isweeneyb,KP,ybalfb,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
ligonetc,JP,athirlawayc,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
yclingoed,JP,enovisd,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
cpillmane,ID,rredleye,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
vminguetf,HT,tfonsof,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
gchennellsg,CN,agerrietsg,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
sbattistah,CN,acoppockh,/src/assets/defaultProfilePicture.svg,/src/assets/defaultProfilePicture.svg,user
